"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"573769549159469056","","","2015-03-06 08:58:15 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Snow, Waves, and Surfers - Lake Tahoe.JPG Wikipedia article edited anonymously from Environment Canada http://t.co/iO6Bk3Q0JL","","","","http://commons.wikimedia.org/w/index.php?diff=152269971&oldid=151600808&rcid=156570073"
"573769309161394176","","","2015-03-06 08:57:18 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Snow and Waves - Lake Tahoe.JPG Wikipedia article edited anonymously from Environment Canada http://t.co/y2JF4RMc0L","","","","http://commons.wikimedia.org/w/index.php?diff=152269942&oldid=151600803&rcid=156570043"
"573768733581275136","","","2015-03-06 08:55:00 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","Category:Pied-de-vent Wikipedia article edited anonymously from Environment Canada http://t.co/Mlrz8nlMhD","","","","http://commons.wikimedia.org/w/index.php?diff=152269845&oldid=145598819&rcid=156569931"
"573768556699082752","","","2015-03-06 08:54:18 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Rays of Sun - Canyonlands National Park.JPG Wikipedia article edited anonymously from Environment Canada http://t.co/0bUO8UrkNj","","","","http://commons.wikimedia.org/w/index.php?diff=152269821&oldid=151976330&rcid=156569901"
"573768031131820032","","","2015-03-06 08:52:13 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Rainbow over the Canyons.JPG Wikipedia article edited anonymously from Environment Canada http://t.co/8QJn8Vqcnf","","","","http://commons.wikimedia.org/w/index.php?diff=152269740&oldid=151763352&rcid=156569796"
"573767569867468800","","","2015-03-06 08:50:23 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Overcast Monument Valley.JPG Wikipedia article edited anonymously from Environment Canada http://t.co/fcWhwZhZgC","","","","http://commons.wikimedia.org/w/index.php?diff=152269659&oldid=151992108&rcid=156569689"
"573767371015462912","","","2015-03-06 08:49:35 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Mount Rose Summit 4.JPG Wikipedia article edited anonymously from Environment Canada http://t.co/0lsEwQmodR","","","","http://commons.wikimedia.org/w/index.php?diff=152269621&oldid=151600826&rcid=156569650"
"573766257520066560","","","2015-03-06 08:45:10 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Mount Rose Summit 3.JPG Wikipedia article edited anonymously from Environment Canada http://t.co/nExcqelokD","","","","http://commons.wikimedia.org/w/index.php?diff=152269426&oldid=151600819&rcid=156569421"
"573766112787197953","","","2015-03-06 08:44:36 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Mount Rose Summit 2.JPG Wikipedia article edited anonymously from Environment Canada http://t.co/InbTYQZ8QT","","","","http://commons.wikimedia.org/w/index.php?diff=152269410&oldid=151600800&rcid=156569399"
"573765546254168064","","","2015-03-06 08:42:20 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Mount Rose Ski.JPG Wikipedia article edited anonymously from Environment Canada http://t.co/mMFTPJWAq8","","","","http://commons.wikimedia.org/w/index.php?diff=152269345&oldid=151600796&rcid=156569307"
"573758568299655168","","","2015-03-06 08:14:37 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Mount Rose Ski 3.JPG Wikipedia article edited anonymously from Environment Canada http://t.co/Q82IpVINUl","","","","http://commons.wikimedia.org/w/index.php?diff=152268424&oldid=151600821&rcid=156568250"
"573758457851023360","","","2015-03-06 08:14:10 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Mount Rose Ski - Northwest Magnum 6.JPG Wikipedia article edited anonymously from Environment Canada http://t.co/KGDaKsmnIR","","","","http://commons.wikimedia.org/w/index.php?diff=152268402&oldid=151600815&rcid=156568225"
"573758315701932032","","","2015-03-06 08:13:37 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Mount Rose Ski 2.JPG Wikipedia article edited anonymously from Environment Canada http://t.co/VKgvpWSviM","","","","http://commons.wikimedia.org/w/index.php?diff=152268378&oldid=151600811&rcid=156568199"
"573758135984349184","","","2015-03-06 08:12:54 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Mount Rose Ski - Blazing Zepyr Six.JPG Wikipedia article edited anonymously from Environment Canada http://t.co/XIjelLZQr1","","","","http://commons.wikimedia.org/w/index.php?diff=152268353&oldid=151617713&rcid=156568171"
"573757446637948928","","","2015-03-06 08:10:09 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Mount Rose Highway.JPG Wikipedia article edited anonymously from Environment Canada http://t.co/Bngmv2pIGQ","","","","http://commons.wikimedia.org/w/index.php?diff=152268242&oldid=151600816&rcid=156568046"
"573756887344287744","","","2015-03-06 08:07:56 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Mount Rose Highway 2.JPG Wikipedia article edited anonymously from Environment Canada http://t.co/YYiBbCU11u","","","","http://commons.wikimedia.org/w/index.php?diff=152268179&oldid=151600818&rcid=156567974"
"573756282852806657","","","2015-03-06 08:05:32 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Monument Valley Cast in the Dust.JPG Wikipedia article edited anonymously from Environment Canada http://t.co/iwSBHDWX0T","","","","http://commons.wikimedia.org/w/index.php?diff=152268116&oldid=151992021&rcid=156567894"
"573756016753573890","","","2015-03-06 08:04:28 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","File:Lightning over Elko, Nevada.jpg Wikipedia article edited anonymously from Environment Canada http://t.co/dN8rtwepxn","","","","http://commons.wikimedia.org/w/index.php?diff=152268075&oldid=151442511&rcid=156567847"
