timestamp,source,text,expanded_urls
2014-12-30 15:52:10 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",William Lyon Mackenzie Collegiate Institute Wikipedia article edited anonymously from Shared Services Canada http://t.co/JYcghC3r7E,http://en.wikipedia.org/w/index.php?diff=640251610&oldid=637258004
2014-12-30 15:41:47 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Damon and Pythias Wikipedia article edited anonymously from Department of Justice Canada http://t.co/dSHQRU2v2U,http://en.wikipedia.org/w/index.php?diff=640250267&oldid=639754415
2014-12-30 15:15:25 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Enlargement of the European Union Wikipedia article edited anonymously from Shared Services Canada http://t.co/RcMT13JNbL,http://en.wikipedia.org/w/index.php?diff=640247466&oldid=639947805
2014-12-30 13:20:44 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Blended whiskey Wikipedia article edited anonymously from Shared Services Canada http://t.co/M68D3Mr3qq,http://en.wikipedia.org/w/index.php?diff=640235804&oldid=640235716
2014-12-30 13:20:02 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Blended whiskey Wikipedia article edited anonymously from Shared Services Canada http://t.co/vcxtbmlBEw,http://en.wikipedia.org/w/index.php?diff=640235716&oldid=637990605
2014-12-30 12:55:40 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",File:ELM-2238 STAR radar onboard INS Satpura (F48).png Wikipedia article edited anonymously from Environment Canada http://t.co/fnNRWQuscc,http://commons.wikimedia.org/w/index.php?diff=144724048&oldid=144311231&rcid=146629090
2014-12-30 12:55:05 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",File:ELM 2248 MF-STAR radar onboard INS Kolkata (D63) of Wikipedia article edited anonymously from Environment Canada http://t.co/TDOZosMgwv,http://commons.wikimedia.org/w/index.php?diff=144724011&oldid=144311233&rcid=146629049
2014-12-30 12:40:51 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",File:NOAA MTSAT Indonesia 12282014 0032z Cropped.jpg Wikipedia article edited anonymously from Environment Canada http://t.co/xtBLiKFkJk,http://commons.wikimedia.org/w/index.php?diff=144723108&oldid=144715131&rcid=146627931
2014-12-29 23:51:09 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",James Naismith Wikipedia article edited anonymously from Shared Services Canada http://t.co/iULG2pcesI,http://en.wikipedia.org/w/index.php?diff=640162011&oldid=640144690
2014-12-29 21:30:45 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",2014 Spengler Cup Wikipedia article edited anonymously from Shared Services Canada http://t.co/w165mQCKDi,http://en.wikipedia.org/w/index.php?diff=640146206&oldid=640146183
2014-12-29 21:30:37 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",2014 Spengler Cup Wikipedia article edited anonymously from Shared Services Canada http://t.co/zbwhxmt4uH,http://en.wikipedia.org/w/index.php?diff=640146183&oldid=640112794
2014-12-29 20:41:17 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Lost Girl Wikipedia article edited anonymously from Finance Canada http://t.co/ra8GQfFgWz,http://en.wikipedia.org/w/index.php?diff=640139666&oldid=639058542
2014-12-29 20:41:15 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Lost Girl Wikipedia article edited anonymously from Shared Services Canada http://t.co/ra8GQfFgWz,http://en.wikipedia.org/w/index.php?diff=640139666&oldid=639058542
2014-12-29 19:30:10 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",August Schellenberg Wikipedia article edited anonymously from Canadian House of Commons http://t.co/agezU5OXgk,http://en.wikipedia.org/w/index.php?diff=640130283&oldid=636133258
2014-12-29 19:22:48 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Isa Boletini Wikipedia article edited anonymously from Shared Services Canada http://t.co/L0hbfmAoHb,http://en.wikipedia.org/w/index.php?diff=640129446&oldid=639470726
2014-12-29 19:11:12 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Blown Away (1994 film) Wikipedia article edited anonymously from Shared Services Canada http://t.co/bjNHFp3iro,http://en.wikipedia.org/w/index.php?diff=640128013&oldid=631311592
2014-12-29 19:00:16 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",File:PB142159 (3031204737).jpg Wikipedia article edited anonymously from Environment Canada http://t.co/e841AN8fce,http://commons.wikimedia.org/w/index.php?diff=144629128&oldid=109519925&rcid=146523053
2014-12-29 18:59:18 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",File:PB142150 (3031203889).jpg Wikipedia article edited anonymously from Environment Canada http://t.co/qFLul2gA7f,http://commons.wikimedia.org/w/index.php?diff=144629010&oldid=97874556&rcid=146522935
2014-12-29 18:58:21 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",File:Parco di Serravalle 9.jpg Wikipedia article edited anonymously from Environment Canada http://t.co/zWQYFeBMR9,http://commons.wikimedia.org/w/index.php?diff=144628903&oldid=144628875&rcid=146522820
2014-12-29 18:58:04 +0000,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",File:Parco di Serravalle 9.jpg Wikipedia article edited anonymously from Environment Canada http://t.co/JIX3CqswYK,http://commons.wikimedia.org/w/index.php?diff=144628875&oldid=133590916&rcid=146522791
